timestamp,session_id,label,cfg,frame,num_detected_obj,num_tlvs,packet_len,tlv_summary,has_vital,target_id,range_bin,breath_deviation,heart_rate,breath_rate
1783150671.581,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,31,0,1,52,1021:4,0,,,,,
1783150671.706,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,32,0,2,196,1021:4;1040:136,1,0,15,0.001575,66.964,0.000
1783150671.769,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,33,0,1,52,1021:4,0,,,,,
1783150671.853,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,34,0,1,52,1021:4,0,,,,,
1783150671.937,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,35,0,1,52,1021:4,0,,,,,
1783150672.041,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,36,0,1,52,1021:4,0,,,,,
1783150672.125,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,37,0,1,52,1021:4,0,,,,,
1783150672.207,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,38,0,1,52,1021:4,0,,,,,
1783150672.312,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,39,0,1,52,1021:4,0,,,,,
1783150672.395,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,40,0,1,52,1021:4,0,,,,,
1783150672.479,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,41,0,1,52,1021:4,0,,,,,
1783150672.583,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,42,0,1,52,1021:4,0,,,,,
1783150672.666,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,43,0,1,52,1021:4,0,,,,,
1783150672.749,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,44,0,1,52,1021:4,0,,,,,
1783150672.832,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,45,0,1,52,1021:4,0,,,,,
1783150672.937,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,46,0,1,52,1021:4,0,,,,,
1783150673.020,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,47,0,1,52,1021:4,0,,,,,
1783150673.145,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,48,0,2,196,1021:4;1040:136,1,0,15,0.015006,63.616,15.067
1783150673.207,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,49,0,1,52,1021:4,0,,,,,
1783150673.291,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,50,0,1,52,1021:4,0,,,,,
1783150673.374,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,51,0,1,52,1021:4,0,,,,,
1783150673.478,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,52,0,1,52,1021:4,0,,,,,
1783150673.562,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,53,0,1,52,1021:4,0,,,,,
1783150673.645,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,54,0,1,52,1021:4,0,,,,,
1783150673.750,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,55,0,1,52,1021:4,0,,,,,
1783150673.833,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,56,0,1,52,1021:4,0,,,,,
1783150673.916,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,57,0,1,52,1021:4,0,,,,,
1783150674.021,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,58,0,1,52,1021:4,0,,,,,
1783150674.105,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,59,0,1,52,1021:4,0,,,,,
1783150674.189,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,60,0,1,52,1021:4,0,,,,,
1783150674.272,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,61,0,1,52,1021:4,0,,,,,
1783150674.375,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,62,0,1,52,1021:4,0,,,,,
1783150674.457,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,63,0,1,52,1021:4,0,,,,,
1783150674.583,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,64,0,2,196,1021:4;1040:136,1,0,15,0.006191,63.616,10.045
1783150674.645,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,65,0,1,52,1021:4,0,,,,,
1783150674.729,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,66,0,1,52,1021:4,0,,,,,
1783150674.812,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,67,0,1,52,1021:4,0,,,,,
1783150674.916,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,68,0,1,52,1021:4,0,,,,,
1783150674.999,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,69,0,1,52,1021:4,0,,,,,
1783150675.083,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,70,0,1,52,1021:4,0,,,,,
1783150675.186,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,71,0,1,52,1021:4,0,,,,,
1783150675.270,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,72,0,1,52,1021:4,0,,,,,
1783150675.353,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,73,0,1,52,1021:4,0,,,,,
1783150675.457,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,74,1,2,88,1020:28;1021:4,0,,,,,
1783150675.540,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,75,0,1,52,1021:4,0,,,,,
1783150675.624,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,76,0,1,52,1021:4,0,,,,,
1783150675.728,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,77,0,1,52,1021:4,0,,,,,
1783150675.812,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,78,0,1,52,1021:4,0,,,,,
1783150675.895,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,79,0,1,52,1021:4,0,,,,,
1783150676.041,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,80,0,2,196,1021:4;1040:136,1,0,15,0.009156,55.245,8.370
1783150676.083,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,81,0,1,52,1021:4,0,,,,,
1783150676.166,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,82,0,1,52,1021:4,0,,,,,
1783150676.270,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,83,0,1,52,1021:4,0,,,,,
1783150676.354,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,84,0,1,52,1021:4,0,,,,,
1783150676.436,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,85,1,2,88,1020:28;1021:4,0,,,,,
1783150676.541,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,86,0,1,52,1021:4,0,,,,,
1783150676.624,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,87,0,1,52,1021:4,0,,,,,
1783150676.707,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,88,0,1,52,1021:4,0,,,,,
1783150676.791,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,89,0,1,52,1021:4,0,,,,,
1783150676.895,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,90,0,1,52,1021:4,0,,,,,
1783150676.978,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,91,0,1,52,1021:4,0,,,,,
1783150677.061,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,92,0,1,52,1021:4,0,,,,,
1783150677.166,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,93,0,1,52,1021:4,0,,,,,
1783150677.249,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,94,0,1,52,1021:4,0,,,,,
1783150677.353,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,95,1,2,88,1020:28;1021:4,0,,,,,
1783150677.478,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,96,1,3,232,1020:28;1021:4;1040:136,1,0,15,0.027513,65.290,11.719
1783150677.521,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,97,0,1,52,1021:4,0,,,,,
1783150677.605,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,98,0,1,52,1021:4,0,,,,,
1783150677.708,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,99,0,1,52,1021:4,0,,,,,
1783150677.796,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,100,0,1,52,1021:4,0,,,,,
1783150677.878,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,101,0,1,52,1021:4,0,,,,,
1783150677.961,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,102,0,1,52,1021:4,0,,,,,
1783150678.064,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,103,0,1,52,1021:4,0,,,,,
1783150678.146,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,104,0,1,52,1021:4,0,,,,,
1783150678.249,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,105,0,1,52,1021:4,0,,,,,
1783150678.332,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,106,2,2,96,1020:36;1021:4,0,,,,,
1783150678.415,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,107,0,1,52,1021:4,0,,,,,
1783150678.518,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,108,0,1,52,1021:4,0,,,,,
1783150678.600,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,109,0,1,52,1021:4,0,,,,,
1783150678.684,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,110,0,1,52,1021:4,0,,,,,
1783150678.788,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,111,1,2,88,1020:28;1021:4,0,,,,,
1783150678.913,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,112,1,3,232,1020:28;1021:4;1040:136,1,0,15,0.029590,65.290,10.045
1783150678.955,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,113,3,2,104,1020:44;1021:4,0,,,,,
1783150679.060,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,114,2,2,96,1020:36;1021:4,0,,,,,
1783150679.144,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,115,1,2,88,1020:28;1021:4,0,,,,,
1783150679.228,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,116,0,1,52,1021:4,0,,,,,
1783150679.332,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,117,0,1,52,1021:4,0,,,,,
1783150679.415,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,118,0,1,52,1021:4,0,,,,,
1783150679.499,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,119,0,1,52,1021:4,0,,,,,
1783150679.583,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,120,0,1,52,1021:4,0,,,,,
1783150679.687,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,121,0,1,52,1021:4,0,,,,,
1783150679.770,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,122,0,1,52,1021:4,0,,,,,
1783150679.854,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,123,0,1,52,1021:4,0,,,,,
1783150679.958,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,124,0,1,52,1021:4,0,,,,,
1783150680.041,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,125,0,1,52,1021:4,0,,,,,
1783150680.124,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,126,0,1,52,1021:4,0,,,,,
1783150680.228,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,127,0,1,52,1021:4,0,,,,,
1783150680.353,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,128,0,2,196,1021:4;1040:136,1,0,15,0.030119,50.223,10.045
1783150680.395,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,129,0,1,52,1021:4,0,,,,,
1783150680.499,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,130,0,1,52,1021:4,0,,,,,
1783150680.582,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,131,0,1,52,1021:4,0,,,,,
1783150680.666,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,132,2,2,96,1020:36;1021:4,0,,,,,
1783150680.770,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,133,3,2,104,1020:44;1021:4,0,,,,,
1783150680.853,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,134,0,1,52,1021:4,0,,,,,
1783150680.936,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,135,0,1,52,1021:4,0,,,,,
1783150681.040,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,136,0,1,52,1021:4,0,,,,,
1783150681.125,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,137,0,1,52,1021:4,0,,,,,
1783150681.208,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,138,0,1,52,1021:4,0,,,,,
1783150681.311,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,139,0,1,52,1021:4,0,,,,,
1783150681.394,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,140,0,1,52,1021:4,0,,,,,
1783150681.478,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,141,0,1,52,1021:4,0,,,,,
1783150681.562,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,142,0,1,52,1021:4,0,,,,,
1783150681.666,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,143,0,1,52,1021:4,0,,,,,
1783150681.791,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,144,0,2,196,1021:4;1040:136,1,0,15,0.015483,73.660,11.719
1783150681.834,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,145,0,1,52,1021:4,0,,,,,
1783150681.937,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,146,0,1,52,1021:4,0,,,,,
1783150682.021,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,147,0,1,52,1021:4,0,,,,,
1783150682.104,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,148,0,1,52,1021:4,0,,,,,
1783150682.208,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,149,0,1,52,1021:4,0,,,,,
1783150682.292,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,150,0,1,52,1021:4,0,,,,,
1783150682.375,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,151,0,1,52,1021:4,0,,,,,
1783150682.480,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,152,0,1,52,1021:4,0,,,,,
1783150682.563,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,153,0,1,52,1021:4,0,,,,,
1783150682.646,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,154,0,1,52,1021:4,0,,,,,
1783150682.750,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,155,0,1,52,1021:4,0,,,,,
1783150682.833,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,156,0,1,52,1021:4,0,,,,,
1783150682.917,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,157,0,1,52,1021:4,0,,,,,
1783150683.021,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,158,0,1,52,1021:4,0,,,,,
1783150683.104,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,159,1,2,88,1020:28;1021:4,0,,,,,
1783150683.228,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,160,1,3,232,1020:28;1021:4;1040:136,1,0,15,0.017167,50.223,11.719
1783150683.291,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,161,0,1,52,1021:4,0,,,,,
1783150683.374,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,162,0,1,52,1021:4,0,,,,,
1783150683.457,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,163,0,1,52,1021:4,0,,,,,
1783150683.541,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,164,0,1,52,1021:4,0,,,,,
1783150683.645,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,165,0,1,52,1021:4,0,,,,,
1783150683.728,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,166,0,1,52,1021:4,0,,,,,
1783150683.812,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,167,0,1,52,1021:4,0,,,,,
1783150683.916,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,168,0,1,52,1021:4,0,,,,,
1783150683.999,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,169,0,1,52,1021:4,0,,,,,
1783150684.103,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,170,18,2,224,1020:164;1021:4,0,,,,,
1783150684.187,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,171,0,1,52,1021:4,0,,,,,
1783150684.270,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,172,0,1,52,1021:4,0,,,,,
1783150684.354,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,173,0,1,52,1021:4,0,,,,,
1783150684.457,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,174,0,1,52,1021:4,0,,,,,
1783150684.540,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,175,0,1,52,1021:4,0,,,,,
1783150684.665,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,176,0,2,196,1021:4;1040:136,1,0,15,0.129065,78.683,15.067
1783150684.728,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,177,0,1,52,1021:4,0,,,,,
1783150684.812,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,178,0,1,52,1021:4,0,,,,,
1783150684.895,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,179,0,1,52,1021:4,0,,,,,
1783150684.998,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,180,0,1,52,1021:4,0,,,,,
1783150685.081,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,181,12,2,176,1020:116;1021:4,0,,,,,
1783150685.164,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,182,0,1,52,1021:4,0,,,,,
1783150685.269,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,183,0,1,52,1021:4,0,,,,,
1783150685.352,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,184,0,1,52,1021:4,0,,,,,
1783150685.435,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,185,0,1,52,1021:4,0,,,,,
1783150685.540,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,186,0,1,52,1021:4,0,,,,,
1783150685.623,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,187,0,1,52,1021:4,0,,,,,
1783150685.706,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,188,0,1,52,1021:4,0,,,,,
1783150685.810,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,189,0,1,52,1021:4,0,,,,,
1783150685.893,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,190,0,1,52,1021:4,0,,,,,
1783150685.977,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,191,1,2,88,1020:28;1021:4,0,,,,,
1783150686.123,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,192,1,3,232,1020:28;1021:4;1040:136,1,0,15,0.133297,73.660,18.415
1783150686.164,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,193,0,1,52,1021:4,0,,,,,
1783150686.248,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,194,0,1,52,1021:4,0,,,,,
1783150686.331,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,195,0,1,52,1021:4,0,,,,,
1783150686.435,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,196,0,1,52,1021:4,0,,,,,
1783150686.518,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,197,0,1,52,1021:4,0,,,,,
1783150686.602,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,198,0,1,52,1021:4,0,,,,,
1783150686.706,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,199,0,1,52,1021:4,0,,,,,
1783150686.788,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,200,0,1,52,1021:4,0,,,,,
1783150686.872,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,201,0,1,52,1021:4,0,,,,,
1783150686.975,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,202,1,2,88,1020:28;1021:4,0,,,,,
1783150687.058,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,203,0,1,52,1021:4,0,,,,,
1783150687.142,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,204,0,1,52,1021:4,0,,,,,
1783150687.247,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,205,0,1,52,1021:4,0,,,,,
1783150687.330,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,206,0,1,52,1021:4,0,,,,,
1783150687.413,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,207,0,1,52,1021:4,0,,,,,
1783150687.557,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,208,0,2,196,1021:4;1040:136,1,0,15,0.207927,77.009,16.741
1783150687.599,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,209,0,1,52,1021:4,0,,,,,
1783150687.683,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,210,0,1,52,1021:4,0,,,,,
1783150687.786,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,211,0,1,52,1021:4,0,,,,,
1783150687.869,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,212,0,1,52,1021:4,0,,,,,
1783150687.972,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,213,1,2,88,1020:28;1021:4,0,,,,,
1783150688.055,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,214,0,1,52,1021:4,0,,,,,
1783150688.138,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,215,0,1,52,1021:4,0,,,,,
1783150688.221,aop6m_person_breathing_01,person_breathing,vital_signs_AOP_6m.cfg,216,0,1,52,1021:4,0,,,,,
